block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467126,1524121919,1524121976,57,261,5.377110935114518,4.0,1.0,5.0
5467127,1524121975,1524121979,4,199,15.299637882055526,5.0,4.0,60.0
5467128,1524121979,1524122012,33,42,56.11852414286804,55.0,30.0,91.0
5467129,1524122012,1524122080,68,173,12.936962104726467,5.0,4.0,49.760003401360535
5467130,1524122078,1524122095,17,149,25.278005614823996,15.362475000000002,5.0,53.62893817180414
5467131,1524122095,1524122111,16,175,9.243141961387439,5.0,4.0,20.758768027210884
5467132,1524122110,1524122134,24,69,13.392308777014133,5.0,4.0,52.15312164948453
5467133,1524122133,1524122139,6,132,12.406553169204745,5.0,4.0,50.0
5467134,1524122138,1524122144,6,76,5.023852849775426,3.4303113437500006,3.0,11.744506146649389
5467135,1524122142,1524122147,5,154,3.952821330319835,3.0,2.0,5.0
5467136,1524122147,1524122158,11,104,59.08491406032061,55.0,44.87830700000001,100.0
5467137,1524122153,1524122175,22,95,6.651017202344861,5.0,3.0,22.112940170118637
5467138,1524122175,1524122195,20,150,10.523727557496747,5.0,3.0,41.0
5467139,1524122194,1524122210,16,154,14.446004449475277,5.0,4.0,55.0
5467140,1524122209,1524122212,3,123,6.995886031563478,4.0,2.0,31.8609257747415
5467141,1524122211,1524122220,9,81,6.366350182881848,4.0,2.0,21.617712827586114
5467142,1524122220,1524122240,20,112,20.17840389123632,5.0,5.0,55.0
5467143,1524122239,1524122258,19,137,7.252062705676969,4.6,4.0,27.633115999999855
5467144,1524122256,1524122272,16,135,9.20051230780115,4.0,2.0,42.41638691778778
5467145,1524122272,1524122283,11,163,18.87926713011245,5.0,5.0,55.0
5467146,1524122282,1524122286,4,116,12.642148629118346,5.0,5.0,50.0
5467147,1524122286,1524122290,4,261,5.044570659239359,4.0,1.0,10.218316697118444
5467148,1524122289,1524122297,8,99,4.0720023751261385,4.0,2.0,8.537495875057488
5467149,1524122296,1524122306,10,123,6.505731658275692,4.0,2.2,21.0
5467150,1524122306,1524122315,9,126,7.489516018869757,4.0,2.0,31.8
5467151,1524122314,1524122321,7,120,4.836320289033275,4.0,2.0,5.0
