block_number,block_timestamp,my_timestamp,delta
5454363,1523932135,1523932158,23,15
5454364,1523932158,1523932178,20,183
5454365,1523932176,1523932195,19,224
5454366,1523932192,1523932211,19,127
5454367,1523932203,1523932236,33,168
5454368,1523932231,1523932286,55,263
5454369,1523932272,1523932288,16,237
5454370,1523932280,1523932309,29,59
5454371,1523932305,1523932366,61,56
5454372,1523932363,1523932367,4,64
5454373,1523932365,1523932370,5,41
5454374,1523932368,1523932377,9,155
5454375,1523932376,1523932385,9,111
5454376,1523932385,1523932407,22,203
5454377,1523932405,1523932418,13,139
5454378,1523932415,1523932428,13,144
5454379,1523932420,1523932450,30,138
5454380,1523932439,1523932468,29,224
5454381,1523932464,1523932585,121,250
5454382,1523932484,1523932586,102,156
5454383,1523932506,1523932587,81,211
5454384,1523932523,1523932588,65,150
5454385,1523932531,1523932589,58,243
5454386,1523932539,1523932590,51,76
5454387,1523932540,1523932592,52,127
5454389,1523932552,1523932593,41,47
5454390,1523932580,1523932604,24,213
5454391,1523932600,1523932613,13,148
5454392,1523932609,1523932628,19,196
5454393,1523932620,1523932633,13,141
5454394,1523932624,1523932634,10,64
5454395,1523932628,1523932764,136,10
5454397,1523932652,1523932766,114,151
5454398,1523932713,1523932767,54,180
5454399,1523932727,1523932768,41,80
5454400,1523932730,1523932769,39,131
5454401,1523932751,1523932773,22,147
5454402,1523932767,1523932782,15,143
5454403,1523932778,1523932801,23,117
5454404,1523932802,1523932887,85,187
5454405,1523932836,1523932888,52,174
5454406,1523932838,1523932889,51,44
5454407,1523932850,1523932919,69,102
5454408,1523932916,1523932922,6,172
5454409,1523932919,1523932932,13,98
5454410,1523932927,1523932938,11,163
5454411,1523932935,1523932970,35,121
5454412,1523932966,1523932987,21,216
5454413,1523932983,1523933000,17,171
5454414,1523932989,1523933016,27,123
5454415,1523933013,1523933023,10,177
5454416,1523933018,1523933035,17,26
5454417,1523933027,1523933049,22,82
5454418,1523933045,1523933053,8,36
5454419,1523933052,1523933062,10,101
5454420,1523933059,1523933086,27,163
5454421,1523933084,1523933096,12,92
5454422,1523933090,1523933124,34,4
5454423,1523933118,1523933128,10,202
5454424,1523933124,1523933139,15,57
5454425,1523933138,1523933163,25,78
5454426,1523933156,1523933184,28,52
5454427,1523933183,1523933206,23,183
5454428,1523933192,1523933349,157,27
5454429,1523933197,1523933350,153,218
5454430,1523933209,1523933351,142,165
5454432,1523933236,1523933352,116,127
5454434,1523933240,1523933353,113,23
5454438,1523933261,1523933354,93,12
5454440,1523933304,1523933355,51,156
5454442,1523933314,1523933356,42,209
5454443,1523933321,1523933368,47,94
5454444,1523933351,1523933369,18,169
5454445,1523933359,1523933373,14,91
5454446,1523933369,1523933381,12,135
5454447,1523933377,1523933408,31,205
5454448,1523933403,1523933432,29,160
5454449,1523933423,1523933441,18,85
5454450,1523933433,1523933451,18,204
5454451,1523933438,1523933457,19,12
5454452,1523933450,1523933465,15,19
5454453,1523933463,1523933481,18,171
5454454,1523933476,1523933505,29,69
5454455,1523933498,1523933531,33,186
5454456,1523933522,1523933541,19,129
5454457,1523933536,1523933818,282,126
5454458,1523933539,1523933819,280,114
5454462,1523933568,1523933820,252,36
5454464,1523933580,1523933821,241,136
5454466,1523933589,1523933822,233,211
5454467,1523933597,1523933823,226,177
5454469,1523933619,1523933824,205,207
5454470,1523933627,1523933825,198,101
5454472,1523933653,1523933826,173,186
5454473,1523933657,1523933827,170,152
5454474,1523933660,1523933828,168,189
5454476,1523933676,1523933829,153,169
5454478,1523933720,1523933830,110,138
5454479,1523933727,1523933831,104,142
5454480,1523933735,1523933832,97,161
5454482,1523933769,1523933833,64,102
5454483,1523933789,1523933834,45,153
5454485,1523933806,1523933835,29,47
5454486,1523933814,1523933865,51,162
5454487,1523933846,1523933874,28,152
5454488,1523933868,1523933915,47,171
5454489,1523933911,1523933938,27,161
5454490,1523933934,1523933970,36,158
5454491,1523933967,1523933980,13,114
5454492,1523933977,1523933996,19,156
5454493,1523933982,1523934007,25,135
5454494,1523933999,1523934075,76,44
5454495,1523934038,1523934076,38,114
5454496,1523934059,1523934077,18,271
5454497,1523934075,1523934350,275,208
5454498,1523934096,1523934351,255,127
5454501,1523934122,1523934352,230,7
5454502,1523934128,1523934353,225,121
5454503,1523934142,1523934354,212,108
5454504,1523934175,1523934355,180,134
5454506,1523934188,1523934356,168,92
5454508,1523934203,1523934357,154,145
5454510,1523934226,1523934358,132,175
5454512,1523934248,1523934359,111,54
5454513,1523934253,1523934360,107,209
5454514,1523934314,1523934361,47,185
5454515,1523934322,1523934362,40,161
5454516,1523934338,1523934363,25,89
5454517,1523934343,1523934391,48,166
5454518,1523934387,1523934396,9,176
5454519,1523934389,1523934420,31,71
5454521,1523934420,1523934436,16,188
5454522,1523934424,1523934453,29,142
5454523,1523934439,1523934692,253,114
5454524,1523934447,1523934693,246,133
5454526,1523934488,1523934694,206,76
5454527,1523934505,1523934695,190,169
5454529,1523934512,1523934696,184,154
5454530,1523934559,1523934697,138,173
5454531,1523934578,1523934698,120,169
5454532,1523934584,1523934700,116,119
5454533,1523934590,1523934701,111,134
5454534,1523934596,1523934702,106,107
5454535,1523934610,1523934704,94,177
5454536,1523934617,1523934705,88,140
5454538,1523934642,1523934706,64,127
5454539,1523934653,1523934707,54,173
5454540,1523934666,1523934739,73,171
5454541,1523934711,1523934776,65,201
5454542,1523934775,1523934782,7,164
5454543,1523934779,1523934791,12,154
5454544,1523934790,1523934801,11,97
5454545,1523934798,1523934811,13,66
5454546,1523934808,1523934837,29,210
5454548,1523934843,1523934859,16,125
5454549,1523934846,1523934894,48,174
5454550,1523934891,1523934914,23,57
5454551,1523934912,1523934933,21,179
5454552,1523934929,1523934947,18,190
5454553,1523934941,1523934978,37,112
5454554,1523934975,1523935007,32,165
5454555,1523935004,1523935012,8,132
5454556,1523935008,1523935032,24,63
5454557,1523935029,1523935041,12,210
5454558,1523935032,1523935055,23,125
5454559,1523935049,1523935064,15,170
5454560,1523935051,1523935072,21,97
5454561,1523935065,1523935087,22,174
5454562,1523935083,1523935104,21,198
5454563,1523935093,1523935129,36,205
5454564,1523935100,1523935130,30,214
5454565,1523935117,1523935148,31,175
5454568,1523935142,1523935277,135,157
5454569,1523935173,1523935278,105,162
5454570,1523935190,1523935279,89,130
5454572,1523935211,1523935280,69,24
5454573,1523935217,1523935281,64,109
5454574,1523935219,1523935282,63,70
5454575,1523935223,1523935283,60,107
5454576,1523935263,1523935284,21,122
5454578,1523935296,1523935326,30,146
5454579,1523935310,1523935327,17,123
5454582,1523935320,1523935565,245,192
5454583,1523935326,1523935566,240,75
5454586,1523935343,1523935567,224,13
5454587,1523935363,1523935568,205,108
5454588,1523935388,1523935571,183,120
5454589,1523935410,1523935572,162,145
5454590,1523935415,1523935574,159,70
5454591,1523935441,1523935575,134,140
5454592,1523935464,1523935576,112,131
5454594,1523935477,1523935577,100,69
5454595,1523935480,1523935578,98,139
5454596,1523935505,1523935579,74,101
5454598,1523935514,1523935580,66,102
5454600,1523935533,1523935581,48,128
5454601,1523935555,1523935583,28,134
5454603,1523935571,1523935606,35,144
5454605,1523935591,1523935607,16,42
5454606,1523935600,1523935621,21,23
5454607,1523935612,1523935632,20,141
5454608,1523935626,1523935648,22,123
5454609,1523935646,1523935660,14,132
5454610,1523935657,1523935669,12,53
5454611,1523935665,1523935686,21,73
5454612,1523935682,1523935690,8,122
5454613,1523935685,1523935703,18,110
5454615,1523935700,1523935707,7,52
5454616,1523935703,1523935731,28,46
5454617,1523935727,1523935734,7,133
5454618,1523935732,1523935738,6,137
5454619,1523935735,1523935752,17,18
5454621,1523935742,1523935753,11,38
5454623,1523935753,1523935783,30,54
5454624,1523935760,1523935784,24,119
5454625,1523935768,1523935785,17,78
5454626,1523935776,1523935810,34,178
5454628,1523935811,1523935839,28,10
5454629,1523935821,1523935935,114,206
5454630,1523935841,1523935936,95,223
5454631,1523935850,1523935937,87,175
5454632,1523935884,1523935938,54,198
5454633,1523935909,1523935939,30,180
5454634,1523935927,1523935942,15,112
5454635,1523935932,1523935952,20,120
5454636,1523935942,1523935953,11,98
5454637,1523935948,1523935960,12,112
5454639,1523935988,1523936193,205,23
5454640,1523935992,1523936194,202,159
5454642,1523936021,1523936195,174,157
5454645,1523936041,1523936196,155,144
5454647,1523936057,1523936197,140,109
5454649,1523936135,1523936199,64,71
5454650,1523936152,1523936200,48,138
5454651,1523936172,1523936202,30,267
5454652,1523936180,1523936203,23,135
5454654,1523936194,1523936230,36,138
5454655,1523936212,1523936231,19,186
5454656,1523936226,1523936259,33,107
5454658,1523936238,1523936270,32,64
5454659,1523936250,1523936271,21,76
5454660,1523936261,1523936279,18,74
5454661,1523936275,1523936345,70,157
5454662,1523936333,1523936346,13,182
5454663,1523936340,1523936358,18,134
5454664,1523936351,1523936361,10,165
5454665,1523936359,1523936381,22,133
5454666,1523936377,1523936395,18,109
5454667,1523936394,1523936410,16,110
5454668,1523936408,1523936433,25,137
5454669,1523936420,1523936441,21,57
5454670,1523936436,1523936453,17,119
5454671,1523936446,1523936461,15,87
5454672,1523936459,1523936474,15,149
5454673,1523936467,1523936478,11,93
5454674,1523936473,1523936510,37,85
5454675,1523936506,1523936537,31,172
5454676,1523936527,1523936542,15,140
5454677,1523936536,1523936557,21,76
5454678,1523936553,1523936564,11,129
5454679,1523936557,1523936613,56,8
5454680,1523936611,1523936619,8,183
5454681,1523936614,1523936888,274,96
5454683,1523936629,1523936890,261,99
5454685,1523936653,1523936891,238,37
5454687,1523936700,1523936893,193,130
5454688,1523936709,1523936894,185,43
5454691,1523936737,1523936895,158,31
5454692,1523936738,1523936896,158,19
5454694,1523936758,1523936897,139,99
5454697,1523936782,1523936898,116,33
5454698,1523936823,1523936899,76,170
5454700,1523936846,1523936900,54,12
5454702,1523936875,1523936901,26,45
5454703,1523936885,1523936902,17,25
5454706,1523936915,1523937062,147,19
5454707,1523936922,1523937063,141,98
5454709,1523936955,1523937064,109,175
5454714,1523937003,1523937065,62,35
5454716,1523937028,1523937066,38,158
5454717,1523937053,1523937348,295,169
5454761,1523937827,1523937946,119,134
5454762,1523937838,1523938013,175,51
5454763,1523937877,1523938014,137,167
5454765,1523937893,1523938015,122,91
5454766,1523937900,1523938016,116,164
5454767,1523937909,1523938017,108,175
5454770,1523937928,1523938018,90,84
5454772,1523937945,1523938019,74,87
5454773,1523937969,1523938068,99,96
5454774,1523938058,1523938081,23,245
5454775,1523938076,1523938099,23,163
5454776,1523938092,1523938151,59,174
5454778,1523938144,1523938241,97,74
5454779,1523938170,1523938242,72,135
5454780,1523938193,1523938244,51,161
5454781,1523938222,1523938245,23,185
5454782,1523938236,1523938261,25,155
5454784,1523938251,1523938262,11,145
5454785,1523938255,1523938304,49,8
5454787,1523938285,1523938305,20,87
5454788,1523938291,1523938306,15,90
5454789,1523938294,1523938315,21,9
5454790,1523938303,1523938320,17,111
5454792,1523938330,1523938341,11,30
5454793,1523938335,1523938464,129,80
5454794,1523938357,1523938465,108,130
5454797,1523938423,1523938466,43,140
5454798,1523938439,1523938467,28,146
5454799,1523938453,1523938494,41,81
5454800,1523938474,1523938495,21,41
5454801,1523938483,1523938502,19,107
5454802,1523938496,1523938511,15,70
5454803,1523938507,1523938523,16,237
5454804,1523938510,1523938534,24,124
5454805,1523938529,1523938541,12,17
5454806,1523938538,1523938550,12,102
5454807,1523938542,1523938698,156,182
5454810,1523938581,1523938699,118,97
5454811,1523938597,1523938700,103,186
5454813,1523938629,1523938701,72,55
5454816,1523938653,1523938702,49,87
5454817,1523938670,1523938800,130,198
5454819,1523938748,1523938801,53,188
5454821,1523938785,1523938802,17,65
5454822,1523938797,1523938863,66,192
5454823,1523938823,1523938867,44,141
5454824,1523938845,1523938868,23,205
5454826,1523938877,1523938923,46,43
5454827,1523938906,1523938925,19,182
5454828,1523938915,1523938926,11,156
5454829,1523938919,1523938934,15,169
5454831,1523938944,1523938998,54,185
5454832,1523938960,1523938999,39,194
5454834,1523938975,1523939000,25,175
5454835,1523938980,1523939001,21,163
5454837,1523939020,1523939077,57,158
5454839,1523939062,1523939078,16,88
5454840,1523939065,1523939091,26,152
5454841,1523939077,1523939098,21,120
5454843,1523939102,1523939113,11,73
5454845,1523939108,1523939114,6,27
5454846,1523939110,1523939155,45,192
5454848,1523939157,1523939805,648,57
5454849,1523939166,1523939806,640,137
5454851,1523939204,1523939807,603,142
5454852,1523939246,1523939808,562,176
5454853,1523939251,1523939809,558,113
5454854,1523939294,1523939810,516,168
5454855,1523939299,1523939811,512,141
5454857,1523939314,1523939812,498,39
5454859,1523939342,1523939813,471,15
